;Summons Number;Plate ID;Registration State;Plate Type;Issue Date;Violation Code;Vehicle Body Type;Vehicle Make;Issuing Agency;Street Code1;Street Code2;Street Code3;Vehicle Expiration Date;Violation Location;Violation Precinct;Issuer Precinct;Issuer Code;Issuer Command;Issuer Squad;Violation Time;Time First Observed;Violation County;Violation In Front Of Or Opposite;Number;Street;Intersecting Street;Date First Observed;Law Section;Sub Division;Violation Legal Code;Days Parking In Effect    ;From Hours In Effect;To Hours In Effect;Vehicle Color;Unregistered Vehicle?;Vehicle Year;Meter Number;Feet From Curb;Violation Post Code;Violation Description;No Standing or Stopping Violation;Hydrant Violation;Double Parking Violation
1512112;1345663869;89902KA;NY;COM;09/18/2013;46;DELV;HINO;P;12310;17070;17090;20140228;9.0;9;9;951074;0009;0000;0132P;;NY;F;63;AVE C;;0.0;408.0;E2;;BBBBBBB;ALL;ALL;WHITE;0.0;2010.0;-;0.0;;;;;
2136757;7182285186;DUP2588;NY;PAS;10/09/2013;38;SUBN;SUBAR;T;0;0;0;20140904;52.0;52;52;358225;T201;G;0549P;;BX;I;S;E 192nd St;25ft W/of Valentine;0.0;408.0;h1;;Y;0830A;0700P;BLACK;;2006.0;;0.0;27 -;38-Failure to Display Muni Rec;;;
4601487;7856283555;43062JY;NY;COM;12/16/2013;69;VAN;GMC;T;34510;10810;10910;88888888;14.0;14;14;358944;T102;L;0418P;;NY;F;302;W 37th St;;0.0;408.0;h1;;YYYYY;0600A;0700P;WHITE;;2007.0;;0.0;90 -;69-Failure to Disp Muni Recpt;;;
7739352;7703173496;FYC9460;NY;PAS;05/07/2014;37;SUBN;TOYOT;T;6380;8880;8930;20140620;66.0;66;66;358240;T302;F;1237P;1227P;K;O;4611;13th Ave;;0.0;408.0;h1;;YYYYY;0800A;0700P;GY;;2012.0;311-3006;0.0;01 3;37-Expired Muni Meter;;;
6165666;7500245282;EFP7479;NY;PAS;03/14/2014;37;SUBN;MERCU;T;18830;73470;85030;20140515;73.0;73;73;355244;T301;P;0620P;0614P;K;F;23;Belmont Ave;;0.0;408.0;h1;;Y;0800A;0700P;GY;;2002.0;303-3031;0.0;28 3;37-Expired Muni Meter;;;
8945564;7727915087;FXP2944;NY;PAS;06/19/2014;19;4DSD;HONDA;T;6480;9030;9080;20160227;66.0;66;66;341120;T802;B;1128P;;K;F;4917;14th Ave;;0.0;408.0;c3;;YYYYYYY;;;BK;;2012.0;;0.0;I 31;19-No Stand (bus stop);;;
2748313;7014517156;208Y120V;NY;COM;10/30/2013;37;VAN;GMC;T;13610;35870;35890;20141031;24.0;24;24;355229;T103;G;0945A;0847A;NY;F;2745;Broadway;;20131030.0;408.0;h1;;Y;0830A;1000P;GY;;2007.0;121-8198;0.0;01 -;37-Expired Muni Meter;;;
5794557;7091892641;GJT2493;NY;PAS;03/03/2014;37;4DSD;NISSA;T;8540;8990;57790;20150911;114.0;114;114;356329;T401;O;0517P;0502P;Q;F;38-02;34th St;;0.0;408.0;h1;;Y;0900A;0700P;GY;;2009.0;434-3041;0.0;D 41;37-Expired Muni Meter;;;
6224461;7083033870;18989PC;NY;IRP;03/17/2014;84;TRAC;FRUEH;T;10110;18010;18030;20140430;17.0;17;17;347679;T400;A;0721A;;NY;F;969;2nd Ave;;0.0;408.0;k7;;;;;WHITE;;2012.0;;0.0;01 9;84-Platform lifts in low posit;;;
6757213;7208318001;37GR47;NY;MOT;04/25/2014;70;MCY;KAWAS;T;14220;66920;15920;20110430;43.0;43;43;350435;T202;O;0901A;;BX;F;948;Boynton Ave;;0.0;408.0;j3;;YYYYYYY;;;BLACK;;1993.0;;0.0;A 22;70A-Reg. Sticker Expired (NYS);;;
8854445;8000617158;0098VFD;DP;PAS;06/16/2014;16;SUBN;HONDA;T;18030;10110;10010;20141188;17.0;17;17;356225;T503;E1;0504P;;NY;F;340;E 52nd St;;0.0;408.0;k2;;YYYYY;0800A;0700P;BLACK;;0.0;;0.0;C 77;16A-No Std (Com Veh) Non-COM;;;
2719545;7387461119;ETD5633;NY;PAS;10/29/2013;21;SUBN;NISSA;T;58310;0;0;20150906;104.0;104;104;356500;T401;M;0841A;;Q;I;N;Otto Rd;55ft E/of 68th St;0.0;408.0;d1;;Y;0830A;1030A;RD;;2010.0;;0.0;L -;21-No Parking (street clean);;;
394636;1360000987;30954JY;NY;COM;08/08/2013;46;VAN;WORKH;P;0;40404;40404;0;19.0;19;406;916685;0406;0000;1050A;;NY;F;1270;5RD A;;0.0;408.0;F1;;BBBBBBB;ALL;ALL;BR;0.0;2009.0;-;0.0;;;;;
705681;7087473402;GAL3082;NY;PAS;08/21/2013;21;4DSD;CHEVR;T;8680;5780;5880;20140925;66.0;66;66;358616;T302;E;1207P;;K;F;735;42nd St;;0.0;408.0;d1;;Y;1130A;0100P;BK;;2008.0;;0.0;43 -;21-No Parking (street clean);;;
6094577;7075736012;29871JV;NY;COM;03/12/2014;46;PICK;TOYOT;T;13610;35570;35590;20160331;24.0;24;24;355537;T103;P;0219P;1200P;NY;F;2450;Broadway;;20140312.0;408.0;F1;;;;;WH;;2006.0;;0.0;C 77;46B-Double Parking (Com-100Ft);;;
4219732;7026681138;FYL3249;NY;PAS;01/26/2014;20;SUBN;HONDA;T;49220;72720;36420;20150716;44.0;44;44;330234;T201;N;0718A;;BX;O;139;Marcy Pl;;0.0;408.0;d;;YYYYYYY;;;TN;;2005.0;;0.0;A -;20A-No Parking (Non-COM);;;
8241449;7813576858;12857JY;NY;COM;05/24/2014;38;VAN;GMC;T;37290;37190;66490;88888888;110.0;110;110;356327;T401;E;0831A;;Q;F;82-23;Broadway;;0.0;408.0;h1;;Y;0800A;0700P;WHITE;;2007.0;;0.0;12 4;38-Failure to Display Muni Rec;;;
1532884;7124789965;FXJ4470;NY;PAS;09/19/2013;38;2DSD;HONDA;T;61090;18490;28690;20140408;110.0;110;110;355249;T401;P;1149A;;Q;F;92-03;Roosevelt Ave;;0.0;408.0;h1;;Y;0900A;0700P;RD;;2013.0;;0.0;17 -;38-Failure to Display Muni Rec;;;
2775035;7719519796;52967MD;NY;COM;10/31/2013;14;VAN;FRUEH;T;25390;18350;18370;88888888;19.0;19;19;358576;T103;R;0421P;;NY;O;818;Madison Ave;;0.0;408.0;c;;YYYYY;0400P;0700P;BROWN;;2014.0;;0.0;07 -;14-No Standing;;;
6452656;5073122331;T641489C;NY;OMT;03/24/2014;7;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;0847P;;;;;3RD AVE.(N/B)@36TH S;T.-MS-4;0.0;1111.0;D;T;;;;BK;;2014.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
3805977;7349512727;DTJ3971;NY;PAS;01/09/2014;71;4DSD;FORD;T;34690;10510;10610;20121023;18.0;18;18;347687;T503;A1;0952A;;NY;F;149;W 46th St;;0.0;408.0;j6;;YYYYYYY;;;PR;;1993.0;;0.0;17 -;71A-Insp Sticker Expired (NYS);;;
996091;7896717359;1OMA;NY;ORG;08/30/2013;38;SUBN;JEEP;T;10910;34170;34190;20140721;10.0;10;10;357723;T102;K;0210P;;NY;O;177;9th Ave;;0.0;408.0;h1;;Y;0830A;1000P;BLACK;;2013.0;;0.0;17 -;38-Failure to Display Muni Rec;;;
5182501;7001008734;T607144C;NY;OMT;02/06/2014;71;4DSD;ME/BE;T;20190;66720;58790;20140630;110.0;110;110;356236;T401;L;0719A;;Q;F;59-30;108th St;;0.0;408.0;j6;;YYYYYYY;;;BK;;2013.0;;0.0;P -;71A-Insp Sticker Expired (NYS);;;
1147946;7677530084;61732JV;NY;COM;09/06/2013;49;DELV;HINO;T;56490;12690;57690;20140531;104.0;104;104;358845;T401;E;0957A;;Q;F;59-42;Myrtle Ave;;0.0;408.0;e6;;;;;WH;;2006.0;;0.0;62-A;49-Excavation (obstruct traff);;;
5913440;5072930403;FWF2816;NY;PAS;03/06/2014;7;4DSD;LEXUS;V;0;0;0;0;;0;0;0;;;1235P;;;;;QUEENS BLVD.(W/B)@BR;OADWAY-R1-3;0.0;1111.0;D;T;;;;GY;;2002.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
2532623;7450254475;1W94A;NY;OMT;10/23/2013;38;SUBN;FORD;T;53790;53490;21340;20140228;106.0;106;106;350882;T402;A;1200P;;Q;F;119-13;Liberty Ave;;0.0;408.0;h1;;YYYYYYY;;;YW;;2008.0;;0.0;24 -;38-Failure to Display Muni Rec;;;
8450038;7145109840;FWE6706;NY;PAS;06/02/2014;20;4DSD;HONDA;T;58330;52830;51930;20160221;94.0;94;94;358885;T301;D;1152A;;K;F;960;Manhattan Ave;;0.0;408.0;d;;Y;0800A;0600P;GY;;0.0;;0.0;17 3;20A-No Parking (Non-COM);;;
5163307;1365802036;26254ME;NY;COM;02/04/2014;46;DELV;MITSU;P;55330;73690;67030;20140331;67.0;67;164;952743;0164;0000;0730P;;K;F;261;LENOX RD;;0.0;408.0;E5;;BBBBBBB;ALL;ALL;WH;0.0;2006.0;-;0.0;;;;;
5603750;7969973528;EDF1283;NY;PAS;02/24/2014;20;4DSD;NISSA;T;64420;48020;8320;20150220;49.0;49;49;355462;T202;Q;0301P;;BX;O;2524;Seymour Ave;;0.0;408.0;d;;YYYYYYY;0700A;0400P;GL;;1996.0;;0.0;O 23;20A-No Parking (Non-COM);;;
3692129;7057373855;PVT8353;OH;PAS;01/06/2014;47;DELV;INTER;T;17590;10110;10010;20140088;13.0;13;13;355186;T102;J;0240P;;NY;O;320;E 30th St;;0.0;408.0;l2;;Y;0700A;0700P;WHITE;;0.0;;0.0;99 -;47-Double PKG-Midtown;;;
6606376;7685027896;WND3901;VA;PAS;03/29/2014;40;SUBN;KIA;T;10630;6880;6980;20141188;62.0;62;62;330578;T302;U;0707A;;K;O;1866;81st St;;0.0;408.0;e2;;YYYYYYY;;;GREEN;;0.0;;0.0;W 32;40-Fire Hydrant;;;
7851570;1368934894;GMJ9949;NY;PAS;05/12/2014;21;SDN;FORD;S;35990;10810;25690;20160117;28.0;28;0;606987;MN10;0000;1152A;;NY;F;303;WEST 111 ST;;0.0;408.0;D1;;YBBYBBB;1130A;0100P;BLACK;0.0;2014.0;-;0.0;;;;;
7129129;7426282016;EWL5195;NY;PAS;04/26/2014;14;PICK;FORD;T;22995;0;0;20160323;5.0;5;5;346381;T105;E;0800A;;NY;I;S;Hogan Pl;170ft E/of Centre St;0.0;408.0;c;;YYYYYYY;;;YW;;2002.0;;0.0;024;14-No Standing;;;
2584227;1354695574;21406MB;NY;COM;10/24/2013;21;SUBN;FORD;P;35290;14510;15710;20150930;20.0;20;20;947912;0020;0000;1135A;;NY;O;4;WEST 76 ST;;0.0;408.0;F1;;YYBYBBB;1100A;1230P;BLUE;0.0;2011.0;-;0.0;;;;;
3103819;7612465577;WTT8683;VA;PAS;11/12/2013;19;SUBN;PLYMO;T;31830;5280;5430;20130088;78.0;78;78;333018;T730;E;0209P;;K;F;360;Dean St;;0.0;408.0;c3;;YYYYYYY;;;WHITE;;0.0;;0.0;04 -;19-No Stand (bus stop);;;
835256;7505092315;62035JM;NY;COM;08/26/2013;19;DELV;GMC;T;46030;42030;58330;88888888;94.0;94;94;358219;T301;D;0222P;;K;F;135;Greenpoint Ave;;0.0;408.0;c3;;YYYYYYY;;;BROWN;;1987.0;;0.0;17 -;19-No Stand (bus stop);;;
1622106;7515596673;37873TR;NY;TRC;09/23/2013;19;TRAC;KENWO;T;38130;34330;54050;20140531;73.0;73;73;358578;T301;H;0202P;;K;O;198;E 98th St;;0.0;408.0;c3;;YYYYYYY;;;RED;;2010.0;;0.0;28 -;19-No Stand (bus stop);;;
8650212;7094179145;EUT2812;NY;PAS;06/09/2014;37;SUBN;INFIN;T;59990;17390;17490;20151201;107.0;107;107;359334;T402;C;0508P;0501P;Q;O;138-61;Queens Blvd;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2008.0;432-3018;0.0;01 4;37-Expired Muni Meter;;;
8502285;4600615165;GEL3695;NY;PAS;06/04/2014;36;4DSD;TOYOT;V;0;0;0;0;;0;0;0;;;1220P;;;;;NB UNIVERSITY AV W T;REMONT AV - W BURNSI;0.0;1180.0;B;T;;;;GY;;2012.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
4611980;7829487649;4ADXG7;CT;PAS;12/18/2013;31;4DSD;FORD;T;34250;10510;10610;20130088;13.0;13;13;352036;T102;G;0103P;;NY;F;131;W 24th St;;0.0;408.0;l3;;YYYYY;0800A;0700P;RED;;0.0;;0.0;06 -;31-No Stand (Com. Mtr. Zone);;;
4170139;5072510529;RSB42V;NJ;PAS;01/23/2014;7;WAGO;CHEVR;V;0;0;0;0;;0;0;0;;;0706P;;;;;RICHMOND RD.(W/B)@ N;EW DORP LANE-SJ-2;0.0;1111.0;D;T;;;;BK;;2013.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
3566035;7014522188;AUTOTAP9;NY;COM;11/27/2013;38;DELV;ISUZU;T;11710;0;0;20140331;24.0;24;24;355229;T103;G;1239P;;NY;I;W;Amsterdam Ave;3ft S/of W 96th St;0.0;408.0;h1;;Y;0900A;0700P;WH;;2013.0;;0.0;01 -;38-Failure to Display Muni Rec;;;
8138591;7088488954;EHD2439;NY;PAS;05/21/2014;70;SUBN;BMW;T;35430;14280;14330;20140504;61.0;61;61;357115;T302;N;1149A;;K;F;1487;E 14th St;;0.0;408.0;j3;;YYYYYYY;;;GY;;2006.0;;0.0;03 3;70A-Reg. Sticker Expired (NYS);;;
8727071;7782750003;6AASL4;CT;999;06/11/2014;38;SUBN;SUBAR;T;37290;15640;15790;88880088;110.0;110;110;358884;T401;R;0343P;;Q;F;74-22;Broadway;;0.0;408.0;h1;;Y;0900A;0700P;GREY;;0.0;;0.0;12-P;38-Failure to Display Muni Rec;;;
9020255;8002612012;XZ694C;NJ;PAS;06/23/2014;47;DELV;INTER;T;17290;23390;10210;88880088;13.0;13;13;356356;T102;A;0947A;;NY;F;145;E 15th St;;0.0;408.0;l2;;Y;0700A;0700P;WHITE;;0.0;;0.0;C 17;47-Double PKG-Midtown;;;
4452375;7151078420;519ZVF;CT;PAS;12/21/2013;37;4DSD;ME/BE;T;64330;0;0;20130088;84.0;84;84;358633;T301;H;1226P;1213P;K;I;W;Nevins St;30ft N/of State St;20131221.0;408.0;h1;;Y;0900A;0700P;GREEN;;0.0;301-3604;0.0;05 -;37-Expired Muni Meter;;;
7175695;7632748600;FYD3377;NY;PAS;04/25/2014;37;SUBN;TOYOT;T;19190;13790;13890;20140604;109.0;109;109;355608;T401;J;0117P;0111P;Q;F;66-06;99th St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2005.0;417-3077;0.0;53-P;37-Expired Muni Meter;;;
2389577;7441087673;DNC1878;NY;PAS;10/18/2013;20;SUBN;HONDA;T;35050;14510;13610;20140224;20.0;20;20;356259;T103;S;0744P;;NY;O;25;W 64th St;;0.0;408.0;d;;YYYYYYY;;;BK;;2006.0;;0.0;C -;20A-No Parking (Non-COM);;;
8058204;7395357243;GMA7961;NY;PAS;05/19/2014;50;2DSD;FORD;T;0;0;0;20151124;9.0;9;9;351280;T105;M;1022A;;NY;I;S;E 13th St;0ft E/of Avenue C;0.0;408.0;e5;;;;;GR;;2008.0;;0.0;L 99;50-Crosswalk;;;
1522307;7478760715;GCZ0705;PA;PAS;09/19/2013;40;4DSD;HYUND;T;25070;0;0;88880088;103.0;103;103;358174;T402;J;0838A;;Q;I;W;181st St;5ft S/of Hillside Av;0.0;408.0;e2;;YYYYYYY;;;BLUE;;0.0;;0.0;05 -;40-Fire Hydrant;;;
1068271;7994200680;ESR9246;NY;PAS;09/03/2013;10;4DSD;TOYOT;T;10010;18750;18770;20150625;19.0;19;19;346193;T103;B;0549A;;NY;O;1712;1st Ave;;0.0;408.0;b;;YYYYYYY;;;GREY;;2003.0;;0.0;01 -;10-No Stopping;;;
23437;1350212106;14543MB;NY;COM;07/18/2013;78;VAN;CHEVR;P;34010;10410;10510;20130531;6.0;6;6;940600;0006;0.0;1215A;;NY;F;28;W 12TH ST;;0.0;408.0;E2;;BBBBBBB;ALL;ALL;WH;0.0;2009.0;-;0.0;;;;;
2838022;7701355455;GBM4285;NY;PAS;11/02/2013;71;SUBN;MAZDA;T;28830;30330;14780;20140902;61.0;61;61;356216;T302;D;0403P;;K;F;2650;Coney Island Ave;;0.0;408.0;j6;;YYYYYYY;;;GY;;2013.0;;0.0;33 -;71A-Insp Sticker Expired (NYS);;;
4200559;7092574006;GDU4728;NY;PAS;01/25/2014;37;2DSD;FIAT;T;0;40404;40404;20141202;114.0;114;114;357347;T401;I;0223P;0215P;Q;I;;Steinway Lot #2;;0.0;408.0;h1;;Y;0800A;1000P;WH;;2013.0;491-0004;0.0;31 -;37-Expired Muni Meter;;;
5721523;1366892926;56427JZ;NY;COM;02/28/2014;45;TRLR;FORD;P;35490;14510;15710;20150731;24.0;24;24;939665;0024;0000;0124P;;NY;F;41;W 86TH ST;;0.0;408.0;E1;;BBBBBBB;0  :;0  :;WHITE;0.0;0.0;-;0.0;;;;;
1079510;7575362228;JHK694;SC;PAS;09/04/2013;14;4DSD;BMW;T;22190;0;0;20140988;113.0;113;113;355054;T402;L;0808A;;Q;I;S;135th Ave;10ft E/of 140th St;0.0;408.0;c;;YYYYYYY;;;SILVE;;0.0;;0.0;N -;14-No Standing;;;
5215066;7130721297;PIK2374;GA;PAS;02/07/2014;11;SUBN;CHRYS;T;18850;10110;10010;20140388;19.0;19;19;355417;T103;H;0405P;;NY;F;303;E 94th St;;0.0;408.0;c5;;YYYYYYY;;;RED;;0.0;;0.0;CC1;11-No Stand (exc hotel load);;;
1478361;1360808681;20047PC;NY;OMR;09/17/2013;46;BUS;VAN H;P;0;40404;40404;20131130;6.0;6;6;899680;0006;0000;1035A;;;O;21;DIVISION;;0.0;408.0;C;;BBBBBBB;ALL;ALL;WH;0.0;2008.0;-;0.0;;;;;
6133551;7650698099;DHW4008;NY;PAS;03/13/2014;38;SUBN;TOYOT;T;6880;8980;9030;20150719;66.0;66;66;356956;T302;G;1233P;;K;F;4801;18th Ave;;0.0;408.0;h1;;YYYYY;0800A;0700P;GY;;2013.0;;0.0;40 3;38-Failure to Display Muni Rec;;;
3378566;1357547018;FPN3267;NY;PAS;11/20/2013;19;SUBN;LEXUS;P;49690;27235;27240;20131120;105.0;105;105;951270;0105;0000;0735P;;Q;F;251-10;HILLSIDE AVE;;0.0;408.0;F1;;BBBBBBB;ALL;ALL;GY;0.0;2010.0;-;0.0;;;;;
3804391;7253880237;EDK7823;NY;PAS;01/09/2014;21;4DSD;FORD;T;18240;7790;7990;20140225;115.0;115;115;355106;T401;M;0941A;;Q;F;30-04;90th St;;0.0;408.0;d1;;Y;0930A;1100A;GR;;2007.0;;0.0;P -;21-No Parking (street clean);;;
624129;7382247946;AZRQ55;FL;PAS;08/17/2013;50;SUBN;HONDA;T;0;0;0;20140288;52.0;52;52;346373;T201;N;0629A;;BX;I;N;W 195th St;0ft E/of Reservoir A;0.0;408.0;e5;;;;;WHITE;;0.0;;0.0;L -;50-Crosswalk;;;
2559589;7956315992;OYA5556N;NJ;PAS;10/24/2013;14;BUS;FORD;T;34510;0;0;88888888;14.0;14;14;346109;T106;A;1047A;;NY;I;N;W 37th St;90ft E/of 10th Ave;0.0;408.0;c;;YYYYYYY;;;WHITE;;0.0;;0.0;E -;14-No Standing;;;
8648005;4600671399;DKW2609;NY;PAS;06/09/2014;36;4DSD;CHEVR;V;0;0;0;0;;0;0;0;;;0325P;;;;;EB SHORE PWY WEST AV;- OCEAN PWY;0.0;1180.0;B;T;;;;GY;;2014.0;;0.0;;PHTO SCHOOL ZN SPEED VIOLATION;;;
3045055;7948636407;GKA8076;NY;PAS;11/09/2013;70;SUBN;BMW;T;10350;17210;17230;20131026;9.0;9;9;358862;T101;E;0316P;;NY;O;111;4th Ave;;0.0;408.0;j3;;YYYYYYY;;;SILVE;;2011.0;;0.0;70 -;70A-Reg. Sticker Expired (NYS);;;
2396;1359108233;CYT8670;NY;PAS;01/09/2013;71;SDN;HONDA;P;21540;60810;64890;20140719;106.0;106;106;949306;0106;0000;0710A;;Q;F;117-66;123RD STREET;;0.0;408.0;J6;;BBBBBBB;ALL;ALL;BLK;0.0;2012.0;-;0.0;;;;;
7004293;7057022414;81101MC;NY;COM;04/07/2014;69;VAN;FR/L;T;25390;18090;18110;20140731;18.0;18;18;355593;T106;L;0434P;;NY;F;550;Madison Ave;;0.0;408.0;h1;;Y;0700A;0700P;WH;;2002.0;;0.0;99 6;69-Failure to Disp Muni Recpt;;;
1711963;1359380176;FHP7467;NY;PAS;09/25/2013;67;SDN;MITSU;P;0;0;0;20150204;43.0;43;43;925691;0043;0000;0623A;;BX;;;N/S LAFAYETTE AVE;E UNDERHILL AVE;0.0;408.0;D4;;BBBBBBB;ALL;ALL;WH;0.0;2010.0;-;0.0;;;;;
321664;7265895770;41942JM;NY;COM;08/06/2013;14;DELV;GMC;T;13610;14710;29390;88888888;1.0;1;1;350411;T105;E;1224P;;NY;F;280;Broadway;;0.0;408.0;c;;YYYYYYY;;;WHITE;;1995.0;;0.0;098;14-No Standing;;;
2124715;7788230947;JJA3661;PA;PAS;10/09/2013;40;4DSD;NISSA;T;8240;7790;7990;20140588;114.0;114;114;333007;T401;M;0610A;;Q;F;30-28;32nd St;;0.0;408.0;e2;;YYYYYYY;;;SILVE;;0.0;;0.0;H -;40-Fire Hydrant;;;
3496543;7993135515;XR484C;NJ;PAS;11/25/2013;38;DELV;INTER;T;35110;0;0;20091288;20.0;20;20;357701;T103;R;0131P;;NY;I;S;W 67th St;43ft W/of Broadway;0.0;408.0;h1;;Y;0900A;0700P;GREY;;0.0;;0.0;53 -;38-Failure to Display Muni Rec;;;
345;1361020763;63577JM;NY;COM;12/24/2000;14;DELV;FR L;P;0;40404;40404;0;17.0;17;17;947475;0017;0000;0930A;;NY;O;163;E 52;;0.0;408.0;E2;;BBBBBBB;ALL;ALL;B;0.0;1996.0;-;0.0;;;;;
1183009;5070533800;EWD3258;NY;PAS;09/07/2013;7;4DSD;NISSA;V;0;0;0;0;;0;0;0;;;0811A;;;;;3RD AVE.(S/B)@E. 135;TH ST.-XW-4;0.0;1111.0;D;T;;;;GY;;2011.0;;0.0;;FAILURE TO STOP AT RED LIGHT;;;
3946583;7431886380;EWU2065;NY;PAS;01/14/2014;38;4DSD;AUDI;T;64780;35780;35780;20140228;107.0;107;107;347629;T402;B;1235P;;Q;F;80-06;Surrey Pl;;0.0;408.0;h1;;Y;0900A;0700P;BLACK;;2009.0;;0.0;09 -;38-Failure to Display Muni Rec;;;
2485787;7932737278;XW616S;NJ;PAS;10/22/2013;21;VAN;FORD;T;22410;28490;27410;20140188;1.0;1;1;351214;T101;B;0818A;;NY;F;10;Hanover Sq;;0.0;408.0;d1;;YYYYY;0800A;0830A;WHITE;;0.0;;0.0;04 -;21-No Parking (street clean);;;
7766302;7004575482;FCR4218;NY;PAS;05/08/2014;21;SUBN;TOYOT;T;36220;40840;61470;20140726;109.0;109;109;351251;T401;L;0906A;;Q;F;133-19;Blossom Ave;;0.0;408.0;d1;;Y;0900A;1030A;WH;;2013.0;;0.0;B 41;21-No Parking (street clean);;;
3720886;7003780173;GDM4822;NY;PAS;01/07/2014;38;4DSD;BMW;T;64290;7240;7540;20150219;114.0;114;114;358589;T401;I;0327P;;Q;F;25-46;Steinway St;;0.0;408.0;h1;;Y;0830A;0700P;GY;;2011.0;;0.0;25-P;38-Failure to Display Muni Rec;;;
5111810;7630790387;XD680G;NJ;PAS;02/01/2014;37;DELV;GMC;T;8140;7990;37290;20140488;114.0;114;114;356329;T401;O;0527P;0421P;Q;F;31-01;31st St;;20140201.0;408.0;h1;;Y;0800A;0700P;WHITE;;0.0;423-3068;0.0;D -;37-Expired Muni Meter;;;
609529;7977950686;0L1843J;NJ;PAS;08/16/2013;14;SUBN;CHEVR;T;27790;17970;17990;88888888;17.0;17;17;358119;T503;E1;0243P;;NY;F;301;Park Ave;;0.0;408.0;c;;YYYYYYY;;;BLACK;;0.0;;0.0;17 -;14-No Standing;;;
3127069;1353798719;62169MB;NY;COM;11/12/2013;46;DELV;FORD;P;0;40404;40404;0;20.0;20;420;886242;0420;0000;0948A;;NY;F;251;W 72ND;;0.0;408.0;F1;;BBBBBBB;ALL;ALL;WH;0.0;0.0;-;0.0;;;;;
2310965;7751139377;35637JS;NY;COM;10/16/2013;38;VAN;CHEVR;T;52320;76950;26820;88888888;43.0;43;43;358662;T202;D;0551P;;BX;O;1204;Morrison Ave;;0.0;408.0;h1;;Y;0900A;0700P;WHITE;;2007.0;;0.0;03P;38-Failure to Display Muni Rec;;;
4188813;7357310644;17419MD;NY;COM;01/24/2014;20;VAN;FORD;T;18350;10110;10010;20141231;19.0;19;19;355639;T103;L;0303P;0222P;NY;F;357;E 68th St;;0.0;408.0;d;;Y;0700A;0700P;WH;;2012.0;;0.0;CC1;20-No Parking (Com Plate);;;
3175280;7661293274;55738JX;NY;COM;11/14/2013;21;VAN;CHEVR;T;18450;25390;27790;20140331;19.0;19;19;351315;T103;C;0926A;;NY;O;40;E 73rd St;;0.0;408.0;d1;;Y  Y;0900A;1030A;BL;;2008.0;;0.0;23 -;21-No Parking (street clean);;;
8593436;7719928362;56136MA;NY;COM;06/06/2014;38;UTIL;FORD;T;24890;18550;18570;20141031;19.0;19;19;356968;T103;P;1252P;;NY;O;1134;Lexington Ave;;0.0;408.0;h1;;YYYYY;1000A;0700P;BK;;2011.0;;0.0;14 7;38-Failure to Display Muni Rec;;;
6245343;7181944794;W22DTR;NJ;PAS;03/18/2014;21;PICK;MAZDA;T;26940;42820;69320;88888888;46.0;46;46;346132;T201;M;0958A;;BX;F;10;E 176th St;;0.0;408.0;d1;;Y  Y;0930A;1100A;WHITE;;0.0;;0.0;D 21;21-No Parking (street clean);;;
3156787;7754183493;FMN9657;NY;PAS;11/13/2013;71;SUBN;LEXUS;T;6380;8830;8880;20150905;66.0;66;66;358666;T302;I;0203P;;K;O;4502;13th Ave;;0.0;408.0;j6;;YYYYYYY;;;BK;;2011.0;;0.0;01 -;71A-Insp Sticker Expired (NYS);;;
4591362;7765422698;IUI189;SC;PAS;12/12/2013;20;4DSD;NS/OT;T;27095;23110;23170;20140288;105.0;105;105;350438;T402;L;0824A;;Q;O;148-11;230th Pl;;0.0;408.0;d;;YYYYYYY;0700A;0400P;BLACK;;0.0;;0.0;L -;20A-No Parking (Non-COM);;;
1861810;7998269777;YGL57F;NJ;PAS;10/01/2013;16;4DSD;LINCO;T;15710;35550;35570;88888888;24.0;24;24;356314;T103;H;0644P;;NY;O;610;Columbus Ave;;0.0;408.0;k2;;YYYYY;0700A;0700P;BLACK;;0.0;;0.0;C -;16A-No Std (Com Veh) Non-COM;;;
8839691;7058567372;16224TC;NY;TRC;06/16/2014;14;TRAC;PETER;T;34710;10510;10610;20150131;18.0;18;18;346409;T106;A;0947A;;NY;F;150;W 47th St;;0.0;408.0;c;;YYYYYYY;;;RD;;2013.0;;0.0;C 17;14-No Standing;;;
9044508;7621665841;GBJ7778;PA;PAS;06/24/2014;20;4DSD;NISSA;T;11830;69230;63030;20140088;88.0;88;88;338603;T730;B;0753A;;K;O;104;Adelphi St;;0.0;408.0;d;;YYYYYYY;0700A;0400P;WHITE;;0.0;;0.0;04 3;20A-No Parking (Non-COM);;;
8789141;7330348820;95749MC;NY;COM;06/13/2014;14;VAN;UD;T;34850;10410;10510;20141231;18.0;18;18;357783;T102;I;0239P;;NY;O;45;W 54th St;;0.0;408.0;c;;YYYYYYY;;;WH;;2013.0;;0.0;MC 9;14-No Standing;;;
